E,TK,N_recv,H,I,gpu_projection_us,status
8,65536,8192,1536,768,1024.9,OK
64,8192,1024,3072,1536,2112.5,OK
8,2097152,262144,3072,1536,102166.6,OK
128,65536,8192,3072,1536,5172.8,OK
32,16384,2048,4096,4096,4194.9,OK
8,65536,8192,2048,1024,1490.8,OK
128,16384,2048,3072,1536,4105.2,OK
32,32768,4096,3072,1536,1860.3,OK
128,131072,16384,3072,1536,7295.7,OK
128,16384,2048,2048,1024,2058.2,OK
8,65536,8192,3072,1536,2715.4,OK
8,16384,2048,3072,1536,870.0,OK
32,65536,8192,3072,1536,3053.2,OK
128,262144,32768,3072,1536,12849.4,OK
128,16384,2048,4096,2048,6977.1,OK
8,65536,8192,4096,2048,4372.1,OK
8,32768,4096,3072,1536,1438.5,OK
32,131072,16384,3072,1536,5608.4,OK
128,524288,65536,3072,1536,24807.2,OK
8,65536,8192,4096,4096,8605.9,OK
8,131072,16384,3072,1536,5303.3,OK
32,262144,32768,3072,1536,11542.2,OK
128,1048576,131072,3072,1536,50111.9,OK
8,65536,8192,6144,3072,9411.3,OK
8,262144,32768,3072,1536,11160.7,OK
32,524288,65536,3072,1536,24171.6,OK
128,2097152,262144,3072,1536,101058.7,OK
16,32768,4096,3072,1536,1572.7,OK
8,524288,65536,3072,1536,23062.7,OK
32,1048576,131072,3072,1536,48256.7,OK
32,16384,2048,2048,1024,730.4,OK
32,16384,2048,3072,1536,1362.4,OK
8,1048576,131072,3072,1536,48916.8,OK
128,32768,4096,3072,1536,4178.6,OK
32,16384,2048,4096,2048,2210.6,OK
